date,Voltage,Current,Charge_Capacity
01/27/2018 15:48:09.729,3.393695831,0,0
01/27/2018 15:50:09.728,3.394385338,0,0
01/27/2018 15:52:09.729,3.394773483,0,0
01/27/2018 15:54:09.729,3.395055771,0,0
01/27/2018 15:56:09.729,3.395251274,0,0
01/27/2018 15:58:09.729,3.395456314,0,0
01/27/2018 16:00:09.729,3.395625114,0,0
01/27/2018 16:02:09.728,3.395819664,0,0
01/27/2018 16:04:09.729,3.395986557,0,0
01/27/2018 16:06:09.728,3.39612484,0,0
01/27/2018 16:08:09.728,3.396298409,0,0
01/27/2018 16:10:09.729,3.396494865,0,0
01/27/2018 16:12:09.729,3.396672249,0,0
01/27/2018 16:14:09.729,3.396832466,0,0
01/27/2018 16:16:09.729,3.396964073,0,0
01/27/2018 16:18:09.729,3.397182465,0,0
01/27/2018 16:20:09.729,3.397342682,0,0
01/27/2018 16:22:09.729,3.397507668,0,0
01/27/2018 16:24:09.729,3.397673607,0,0
01/27/2018 16:26:09.728,3.397875786,0,0
01/27/2018 16:28:09.730,3.398007393,0,0
01/27/2018 16:30:09.728,3.398178101,0,0
01/27/2018 16:32:09.728,3.398343086,0,0
01/27/2018 16:34:09.729,3.398493767,0,0
01/27/2018 16:36:09.729,3.398641586,0,0
01/27/2018 16:38:09.730,3.398827553,0,0
01/27/2018 16:40:09.728,3.398964882,0,0
01/27/2018 16:42:09.729,3.399161339,0,0
01/27/2018 16:44:09.729,3.39928627,0,0
01/27/2018 16:46:09.728,3.399435043,0,0
01/27/2018 16:46:09.730,3.399435043,0,0
01/27/2018 16:48:09.813,4.200162888,4.156597137,0.154108599
01/27/2018 16:50:09.814,4.200171471,3.962596893,0.289946616
01/27/2018 16:52:09.812,4.200216293,3.619028091,0.416343868
01/27/2018 16:54:09.813,4.200181007,3.313980103,0.531671703
01/27/2018 16:54:34.584,4.200181007,3.259988785,0.554284513
01/27/2018 16:56:34.598,4.222658157,3.259923935,0.662560344
01/27/2018 16:58:34.598,4.244030952,3.259990692,0.77122575
01/27/2018 17:00:34.597,4.264228821,3.260009766,0.879892051
01/27/2018 17:02:34.598,4.283789635,3.260046005,0.988572419
01/27/2018 17:04:34.597,4.303444862,3.260017395,1.09721911
01/27/2018 17:06:34.598,4.323716164,3.260065079,1.205884576
