Time,Voltage,Current,Ah
7/23/2017 1:42,3.97343,-2.899,2.39345
7/23/2017 1:43,3.95992,-2.899,2.38539
7/23/2017 1:44,3.95026,-2.899,2.37734
7/23/2017 1:45,3.94319,-2.89982,2.36929
7/23/2017 1:46,3.93675,-2.89982,2.36123
7/23/2017 1:47,3.93161,-2.899,2.35318
7/23/2017 1:48,3.9271,-2.89982,2.34513
7/23/2017 1:49,3.9226,-2.89982,2.33707
7/23/2017 1:50,3.91874,-2.89982,2.32902
7/23/2017 1:51,3.91488,-2.89982,2.32097
7/23/2017 1:52,3.91166,-2.89982,2.31291
7/23/2017 1:53,3.90845,-2.899,2.30486
7/23/2017 1:54,3.90523,-2.89982,2.2968
7/23/2017 1:55,3.90266,-2.899,2.28875
7/23/2017 1:56,3.89944,-2.899,2.2807
7/23/2017 1:57,3.89622,-2.899,2.27264
7/23/2017 1:58,3.89301,-2.89982,2.26459
7/23/2017 1:59,3.89043,-2.899,2.25653
7/23/2017 2:00,3.88786,-2.899,2.24848
7/23/2017 2:01,3.88464,-2.89982,2.24043
7/23/2017 2:02,3.88207,-2.899,2.23237
7/23/2017 2:03,3.87885,-2.89982,2.22432
7/23/2017 2:04,3.87563,-2.89982,2.21627
7/23/2017 2:05,3.87306,-2.899,2.20821
7/23/2017 2:06,3.86984,-2.89982,2.20016
7/23/2017 2:07,3.86727,-2.89982,2.1921
7/23/2017 2:08,3.86405,-2.899,2.18405
7/23/2017 2:09,3.86148,-2.89982,2.176
7/23/2017 2:10,3.85891,-2.899,2.16794
7/23/2017 2:11,3.85569,-2.899,2.15988
7/23/2017 2:12,3.85312,-2.899,2.15183
7/23/2017 2:13,3.8499,-2.899,2.14378
7/23/2017 2:14,3.84733,-2.89982,2.13573
7/23/2017 2:15,3.84411,-2.899,2.12767
7/23/2017 2:16,3.84154,-2.899,2.11961
7/23/2017 2:17,3.83832,-2.899,2.11156
7/23/2017 2:18,3.83575,-2.899,2.10351
7/23/2017 2:19,3.83253,-2.899,2.09545
7/23/2017 2:20,3.82996,-2.899,2.0874
7/23/2017 2:21,3.82674,-2.89982,2.07935
7/23/2017 2:22,3.82417,-2.89982,2.07129
7/23/2017 2:23,3.82095,-2.899,2.06324
7/23/2017 2:24,3.81837,-2.899,2.05519
7/23/2017 2:25,3.8158,-2.89982,2.04713
7/23/2017 2:26,3.81258,-2.899,2.03908
7/23/2017 2:27,3.81001,-2.899,2.03102
7/23/2017 2:28,3.80679,-2.89982,2.02297
7/23/2017 2:29,3.80422,-2.89982,2.01492
7/23/2017 2:30,3.801,-2.89982,2.00687
7/23/2017 2:31,3.79843,-2.899,1.99881
7/23/2017 2:32,3.79521,-2.899,1.99076
7/23/2017 2:33,3.79264,-2.899,1.9827
7/23/2017 2:34,3.78942,-2.89982,1.97464
7/23/2017 2:35,3.78685,-2.899,1.96659
7/23/2017 2:36,3.78428,-2.899,1.95854
7/23/2017 2:37,3.78106,-2.89982,1.95048
7/23/2017 2:38,3.77849,-2.89982,1.94243
7/23/2017 2:39,3.77591,-2.89982,1.93438
7/23/2017 2:40,3.7727,-2.89982,1.92632
7/23/2017 2:41,3.77012,-2.899,1.91827
7/23/2017 2:42,3.76755,-2.89982,1.91021
7/23/2017 2:43,3.76498,-2.899,1.90216
7/23/2017 2:44,3.76176,-2.899,1.89411
7/23/2017 2:45,3.75919,-2.89982,1.88605
7/23/2017 2:46,3.75661,-2.89982,1.878
7/23/2017 2:47,3.75339,-2.89982,1.86995
7/23/2017 2:48,3.75082,-2.899,1.86189
7/23/2017 2:49,3.74825,-2.89982,1.85384
7/23/2017 2:50,3.74567,-2.899,1.84578
7/23/2017 2:51,3.74246,-2.899,1.83773
7/23/2017 2:52,3.73924,-2.899,1.82968
7/23/2017 2:53,3.73731,-2.899,1.82162
7/23/2017 2:54,3.73409,-2.899,1.81357
7/23/2017 2:55,3.73152,-2.89982,1.80552
7/23/2017 2:56,3.7283,-2.89982,1.79746
7/23/2017 2:57,3.72573,-2.899,1.7894
7/23/2017 2:58,3.72316,-2.899,1.78135
7/23/2017 2:59,3.71994,-2.899,1.7733
7/23/2017 3:00,3.71737,-2.899,1.76525
7/23/2017 3:01,3.71479,-2.89982,1.75719
7/23/2017 3:02,3.71222,-2.899,1.74914
7/23/2017 3:03,3.709,-2.899,1.74108
7/23/2017 3:04,3.70643,-2.899,1.73303
7/23/2017 3:05,3.70386,-2.89982,1.72497
7/23/2017 3:06,3.70064,-2.89982,1.71692
7/23/2017 3:07,3.69807,-2.89982,1.70886
7/23/2017 3:08,3.69549,-2.89982,1.70081
7/23/2017 3:09,3.69292,-2.899,1.69276
7/23/2017 3:10,3.6897,-2.89982,1.68471
7/23/2017 3:11,3.68713,-2.899,1.67665
7/23/2017 3:12,3.68391,-2.89982,1.6686
7/23/2017 3:13,3.68134,-2.89982,1.66054
7/23/2017 3:14,3.67812,-2.89982,1.65248
7/23/2017 3:15,3.67555,-2.89982,1.64443
7/23/2017 3:16,3.67297,-2.899,1.63638
7/23/2017 3:17,3.66976,-2.899,1.62832
7/23/2017 3:18,3.66654,-2.89982,1.62027
7/23/2017 3:19,3.66397,-2.89982,1.61222
7/23/2017 3:20,3.66139,-2.899,1.60416
7/23/2017 3:21,3.65818,-2.899,1.59611
7/23/2017 3:22,3.65496,-2.899,1.58805
7/23/2017 3:23,3.65239,-2.899,1.58
7/23/2017 3:24,3.64917,-2.899,1.57195
7/23/2017 3:25,3.64595,-2.89982,1.56389
7/23/2017 3:26,3.64338,-2.899,1.55585
7/23/2017 3:27,3.64016,-2.89982,1.54779
7/23/2017 3:28,3.63695,-2.899,1.53973
7/23/2017 3:29,3.63437,-2.899,1.53168
7/23/2017 3:30,3.63116,-2.89982,1.52363
7/23/2017 3:31,3.62794,-2.89982,1.51557
7/23/2017 3:32,3.62537,-2.899,1.50752
7/23/2017 3:33,3.62215,-2.899,1.49947
7/23/2017 3:34,3.61893,-2.89982,1.49141
